Reference;Advisliste;Afsender;Posteringstype;match_regel;Beløb1;Beløb2;beløb_regel;Posteringstekst;Artskonto;PSP-element;SIO;Notat
5386888 242118;null;null;null;Indeholder;null;null;null;DK5386888 242118 Kristrup Skole - Skolefest;79000000;XG-0000002475-00017;null;null
5386888 242716;null;null;null;Indeholder;null;null;null;DK5386888 242716 Kristrup Skole 6 årgang Læsø;79000000;XG-0000002475-00015;null;null
5386888 242740;null;null;null;Indeholder;null;null;null;DK5386888 242740 Kristrup skole Lejrskole 6. årgang;79000000;XG-0000002475-00015;null;null
5386888 242823;null;null;null;Indeholder;null;null;null;DK5386888 242823 Hyttetur 3 A på Kristrup Skole;79000000;XG-0000002475-00015;null;null
5386888 280691;null;null;null;Indeholder;null;null;null;DK5386888 280691 - Cykelparkering - abonnementsbetaling;79000000;XG-0000005063-00010;null;null
5386888 280692;null;null;null;Indeholder;null;null;null;DK5386888 280692 - Cykelparkering - abonnementsbetaling;79000000;XG-0000005063-00010;null;null
5386888 280693;null;null;null;Indeholder;null;null;null;DK5386888 280693 - Cykelparkering - abonnementsbetaling;79000000;XG-0000005063-00010;null;null
5386888 281701;null;null;null;Indeholder;null;null;null;DK5386888 281701 - Cykelby;79000000;XG-0000005063-00010;null;null
5386888 410066;null;null;null;Indeholder;null;null;null;DK5386888 410066 Vestervangsskolen overnatning 3. årgang;79000000;XG-0000002555-00020;null;null
5386888 412905;null;null;null;Indeholder;null;null;null;DK5386888 412905 Vestervangsskolen - Lejrtur 9. årgang;79000000;XG-0000002555-00020;null;null
5386888 417651;null;null;null;Indeholder;null;null;null;DK5386888 417651 Vestervangsskolen - Lejrtur 6. årgang;79000000;XG-0000002555-00020;null;null
5386888 0_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 1_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 2_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 3_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 4_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 5_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 6_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 7_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 8_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 9_UDLY;null;null;null;Indeholder;null;null;null;DK5386888 Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 030012;null;null;null;Indeholder;null;null;null;DK5386888 Cykel;79000000;XG-0000005063-00010;null;null
5386888 120012;null;null;null;Indeholder;null;null;null;DK5386888 Cykel;79000000;XG-0000005063-00010;null;null
5386888 151445;null;null;null;Indeholder;null;null;null;DK5386888 Hobrovejensskole Lejrskole 2017 for 5. a og 5. b;79000000;XG-0000002439-00022;null;null
5386888 191623;null;null;null;Indeholder;null;null;null;DK5386888 Hornbæk skole Lejrskole 2017 for 5. a og 5. b;79000000;XG-0000002452-00020;null;null
5386888 151360;null;null;null;Indeholder;null;null;null;DK5386888 Indbetaling Lejrskole for vores 6. klasser;79000000;XG-0000002439-00022;null;null
5386888 121786;null;null;null;Indeholder;null;null;null;DK5386888 Korshøjskolen Lejrtur 6. årgang til Skagen;79000000;XG-0000002465-00042;null;null
5386888 131668;null;null;null;Indeholder;null;null;null;DK5386888 Korshøjskolen Skolefest for udskolingen;79000000;XG-0000002465-00024;null;null
5386888 131786;null;null;null;Indeholder;null;null;null;DK5386888 Korshøjskolen Tur til Sønderborg for S1 og S2 ;79000000;XG-0000002465-00045;null;null
5386888 241991;null;null;null;Indeholder;null;null;null;DK5386888 Kristrup Skole lejrskole København;79000000;XG-0000002475-00015;null;null
5386888 241992;null;null;null;Indeholder;null;null;null;DK5386888 Kristrup Skole Lejrskole Voer 2018;79000000;XG-0000002475-00015;null;null
5386888 241360;null;null;null;Indeholder;null;null;null;DK5386888 Kristrup Skole Skolefest;79000000;XG-0000002475-00017;null;null
5386888 121806;null;null;null;Indeholder;null;null;null;DK5386888 Lejrtur 8.C Korshøjskolen;79000000;XG-0000002465-00044;null;null
5386888 192461;null;null;null;Indeholder;null;null;null;DK5386888 Skolefest Hornbæk Skole;79000000;XG-0000002452-00024;null;null
5386888 141501;null;null;null;Indeholder;null;null;null;DK5386888 Tirsdalens Skole – lejrskole i København;79000000;XG-0000002544-00024;null;null
5386888 121614;null;null;null;Indeholder;null;null;null;DK5386888 Tirsdalens Skole - Skolefest;79000000;XG-0000002544-00026;null;null
5386888 121600;null;null;null;Indeholder;null;null;null;DK5386888 Tirsdalens skole-Lejrskole på Samsø;79000000;XG-0000002544-00024;null;null
5541069;null;null;null;Indeholder;null;null;null;DK5541069 Udbyhøj Lystbådehavn;79000000;XG-0000004025-00002;null;null
6175937;null;null;null;Indeholder;null;null;null;DK6175937 køb af mærkater til erhvervs adgang til genbrugspl;79000000;XG-0000005285-00015;null;null
6177549;null;null;null;Indeholder;null;null;null;DK6177549 Huslejenævnet. Indbetaling på Randers.dk;79000000;XG-0000003025-00001;null;null
6631479;null;null;null;Indeholder;null;null;null;DK6631479 Beboerlicens parkering RK;79000000;XG-0000005096-00009;null;null
5078318;null;null;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000002667-00008;null;null
8189094;null;null;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000002667-00008;null;null
5386888 191360;null;null;null;Indeholder;null;null;null;Hornbæk Skoles skolefest;79000000;XG-0000002452-00024;null;null
3070-01;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion AFK;79000000;XG 0000003070-00001;null;null
5386888 141359;null;null;null;Indeholder;null;null;null;Lejrskole 9. klasse Tirsdalen;79000000;XG-0000002544-00024;null;null
5386888 120070;null;null;null;Indeholder;null;null;null;Sprogcentret - medborgerskabsprøve;79000000;XG-0000003397-00053;null;null
5386888 050035;null;null;null;Indeholder;null;null;null;Sprogcentret - Prøver;79000000;XG-0000003397-00044;null;null
5386888 005027;null;null;null;Indeholder;null;null;null;Sprogcentret - Statsborgerskabsprøve;79000000;XG-0000003397-00053;null;null
5386888 050027;null;null;null;Indeholder;null;null;null;Sprogcentret - Statsborgerskabsprøve;79000000;XG-0000003397-00053;null;null
5386888 120027;null;null;null;Indeholder;null;null;null;Sprogcentret - Statsborgerskabsprøve;79000000;XG-0000003397-00053;null;null
5386888 111313;null;null;null;Indeholder;null;null;null;Studietur til Berlin;79000000;XG-0000002511-00020;null;null
5386888 111324;null;null;null;Indeholder;null;null;null;Studietur til New York;79000000;XG-0000002511-00020;null;null
7374697;null;null;null;Indeholder;null;null;null;Teller 7374697;79000000;XG-0000005096-00001;null;null
7555139;null;null;null;Indeholder;null;null;null;Teller 7555139;79000000;XG-0000005094-00001;null;null
7570562;null;null;null;Indeholder;null;null;null;Teller 7570562;79000000;XG-0000004025-00002;null;null
7757974;null;null;null;Indeholder;null;null;null;Teller 7757974 / randers-affald;79000000;XG-0000005285-00015;null;null
8094609;null;null;null;Indeholder;null;null;null;Teller 8094609 Beboerlicens parkering RK;79000000;XG-0000005096-00009;null;null
cyke;null;null;null;Slutter med;null;null;null;DK5386888_cykel;79000000;XG-0000005063-00010;null;null
cykel;null;null;null;Slutter med;null;null;null;DK5386888_cykel;79000000;XG-0000005063-00010;null;null
AE 9476014980;null;null;null;Starter med;null;null;null;AE 9476014980;79000000;XG-0000005096-00001;null;null
AE 9476060256;null;null;null;Starter med;null;null;null;AE 9476060256;79000000;XG-0000005094-00001;null;null
5386888 121623;null;null;null;Starter med;null;null;null;Hornbæk Skole – Lejrskole for 5. årgang til Odense;79000000;XG-0000002452-00020;null;null
null;null;ParkPark;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000005096-00010;null;null
null;null;Parkman;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000005096-00010;null;null
null;null;Park4U;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000005096-00010;null;null
null;SDTN;Kvindecenter;null;Indeholder;null;null;null;Vedr. projekt SDTN Supervision;79000000;XG-0000002793-00004;null;null
null;null;EasyPark;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000005096-00010;null;null
5386888 030325;null;null;null;Indeholder;null;null;null;538688 030325 Depositum ifm. udlån af elcykler;79000000;XG-0000005063-00011;null;null
5386888 0-0621;null;null;null;Indeholder;null;null;null;5386888 0-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 1-0621;null;null;null;Indeholder;null;null;null;5386888 1-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 212126;null;null;null;Indeholder;null;null;null;5386888 212126 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 2-0621;null;null;null;Indeholder;null;null;null;5386888 2-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 3-0621;null;null;null;Indeholder;null;null;null;5386888 3-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 4-0621;null;null;null;Indeholder;null;null;null;5386888 4-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 5-0621;null;null;null;Indeholder;null;null;null;5386888 5-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 6-0621;null;null;null;Indeholder;null;null;null;5386888 6-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 7-0621;null;null;null;Indeholder;null;null;null;5386888 7-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 8-0621;null;null;null;Indeholder;null;null;null;5386888 8-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
5386888 9-0621;null;null;null;Indeholder;null;null;null;5386888 9-2121 UMT til kampagnen GIV RANDERS ET TRÆ;79000000;XA-9258200001-00041;null;null
011887;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard AF-koordinator 011887;79000000;XG-0000003070-00001;null;null
011893;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Blicherskolen Skolebod A 011893;79000000;XG-0000002392-00031;null;null
011892;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Blicherskolen Skolebod B 011892;79000000;XG-0000002392-00032;null;null
006990;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Hobrovejens Skole 006990;79000000;XG-0000002439-00014;null;null
012183;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard RS Blommevej;79000000;XG-0000002648-00024;null;null
006982;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Mellerup/Ragna 006982;79000000;XG-0000005094-00005;null;null
012194;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Munkholmskolen 012194;79000000;XG-0000004526-00048;null;null
006991;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Randers Ungddomsskole 006991;79000000;XG-0000002667-00008;null;null
006980;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Sprogcentret 006980;79000000;XG-0000003397-00012;null;null
006976;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Søndermarkskolen 006976;79000000;XG-0000002531-00016;null;null
006977;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Udbyhøj 006977;79000000;XG-0000005094-00004;null;null
5386888 102400;null;null;null;Indeholder;null;null;null;DK5386000 102400 Østervangsskolen, Lejrskole 5. årgang – ;79000000;XG-0000002568-00015;null;null
5386888 084190;null;null;null;Indeholder;null;null;null;DK5386888 083585 Grønhøjskolens Skolerejse for 9.A og 9.B KBH;79000000;XG-0000002415-00037;null;null
5386888 142729;null;null;null;Indeholder;null;null;null;DK5386888 142729 Tirsdalens skole - egenbetaling lejrtur;79000000;XG-0000002544-00024;null;null
5386888 192902;null;null;null;Indeholder;null;null;null;DK5386888 192902Hornbæk Skole, Lejrskole 5. årgang – ID 192902;79000000;XG-0000002452-00020;null;null
5386888 192944;null;null;null;Indeholder;null;null;null;DK5386888 192944 Hornbæk Skole, Lejrskole 8. årgang – ID 192944;79000000;XG-0000002452-00020;null;null
5386888 243011;null;null;null;Indeholder;null;null;null;DK5386888 243011 ;79000000;XG-0000002475-00015;null;null
5386888 243153;null;null;null;Indeholder;null;null;null;DK5386888 243153 Hyttetur 3 årgang på Kristrup Skole;79000000;XG-0000002475-00015;null;null
5386888 243086;null;null;null;Indeholder;null;null;null;DK8686888 243086 Kristrup 6. årg. SKAGEN.;79000000;XG-0000002475-00015;null;null
null;ParkOne;null;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000005096-00010;null;null
null;OK parkering;null;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000005096-00010;null;null
5386888 192832;null;null;null;Indeholder;null;null;null;Hornbæk skole, galla + Djurs Sommerland, 9. klasse;79000000;XG-0000002452-00029;null;null
Hobrovejens Skole;null;null;null;Indeholder;null;null;null;Kontant transaktion Hobrovejens Skole;79000000;XG-0000002439-00014;null;null
Munkholmskole;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Munkholmskolen;79000000;XG-0000004526-00048;null;null
null;Unge i uddannelse;Region Midt;null;Indeholder;null;null;null;Region Midtjylland - Ung i uddannelse;79000000;XG-0000002833-00003;null;null
MEL;null;null;Indbetaling;Slutter med;null;null;null;Kontant transaktion Mellerup færge;79000000;XG-0000005094-00004;null;null
UDB;null;null;Indbetaling;Slutter med;null;null;null;Kontant transaktion Udbyhøj færge;79000000;XG-0000005094-00005;null;null
Automat;null;null;null;Slutter med;null;null;null;Mønt-indbetaling parkering;79000000;XG-0000005096-00001;null;null
null;63470645;Bambora;null;Starter med;null;null;null;Tekst fra bank;79000000;XG-0000005096-00009;null;null
2022_962_;null;null;null;Starter med;null;null;null;Pay4it Automat;79000000;XG-0000002415-00038;null;null
OY-;null;null;Overførsel;Starter med;null;null;null;Tekst fra bank;79000000;XG-0000005086-00001;null;null
null;OY-;null;Overførsel;Starter med;null;null;null;Tekst fra bank;79000000;XG-0000005086-00001;null;null
3796663;null;null;null;Indeholder;null;null;null;DK3796663 Vorup Plejehjem;72000000;XG-0000004526-00041;null;null
3796671;null;null;null;Indeholder;null;null;null;DK3796671 Borupvænget;72000000;XG-0000004526-00046;null;null
3796795;null;null;null;Indeholder;null;null;null;DK3796795 - Møllevang;72000000;XG-0000004526-00033;null;null
3796817;null;null;null;Indeholder;null;null;null;DK3796817 - Bakkegården;72000000;XG-0000004526-00028;null;null
3796868;null;null;null;Indeholder;null;null;null;DK3796868 Dronningborg;72000000;XG-0000004526-00030;null;null
3796884;null;null;null;Indeholder;null;null;null;DK3796884 Svaleparken;72000000;XG-0000004526-00038;null;null
3796892;null;null;null;Indeholder;null;null;null;DK3796892 - Rosenvænget;72000000;XG-0000004526-00027;null;null
3796906;null;null;null;Indeholder;null;null;null;DK3796906;72000000;XG-0000004526-00040;null;null
3796914;null;null;null;Indeholder;null;null;null;DK3796914 Kollektivhuset;72000000;XG-0000004526-00044;null;null
3796930;null;null;null;Indeholder;null;null;null;DK3796930 Lindevænget;72000000;XG-0000004526-00036;null;null
3796949;null;null;null;Indeholder;null;null;null;DK3796949 Huset Nyvang;72000000;XG-0000004526-00035;null;null
4771842;null;null;null;Indeholder;null;null;null;DK4771842 GAIA PAPAYA;72000000;XG-0000003040-00046;null;null
5157064;null;null;null;Indeholder;null;null;null;DK5157064 - Condomeriet;72000000;XG-0000004204-00002;null;null
5386888 120186;null;null;null;Indeholder;null;null;null;DK5386388 Assentoft;72000000;XG-0000002369-00021;null;null
5386888 010631;null;null;null;Indeholder;null;null;null;DK538688 010631 Assentoftskolen skolefest;72000000;XG-0000002369-00022;null;null
5386888 281359;null;null;null;Indeholder;null;null;null;DK5386888 - Kompostbeholder;72000000;XG-0000005280-00036;null;null
5386888 101655;null;null;null;Indeholder;null;null;null;DK5386888 101655 Østervangsskolen Skolefest;72000000;XG-0000002415-00039;null;null
5386888 102002;null;null;null;Indeholder;null;null;null;DK5386888 102002 Tirsdalens Skole skolebod;72000000;XG-0000002544-00025;null;null
5386888 102193;null;null;null;Indeholder;null;null;null;DK5386888 102193 Østervangsskolen Skolefest;72000000;XG-0000002415-00039;null;null
5386888 211569;null;null;null;Indeholder;null;null;null;DK5386888 211369 - Rismølleskolen madbestilling;72000000;XG-0000002521-00031;null;null
5386888 211390;null;null;null;Indeholder;null;null;null;DK5386888 211390 - Rismølleskolen madbestilling;72000000;XG-0000002521-00031;null;null
5386888 211567;null;null;null;Indeholder;null;null;null;DK5386888 211567 - Rismølleskolen madbestilling;72000000;XG-0000002521-00031;null;null
5386888 211568;null;null;null;Indeholder;null;null;null;DK5386888 211568 - Rismølleskolen madbestilling;72000000;XG-0000002521-00031;null;null
5386888 211570;null;null;null;Indeholder;null;null;null;DK5386888 211570 - Rismølleskolen madbestilling;72000000;XG-0000002521-00031;null;null
5386888 211571;null;null;null;Indeholder;null;null;null;DK5386888 211571 - Rismølleskolen madbestilling;72000000;XG-0000002521-00031;null;null
5386888 221365;null;null;null;Indeholder;null;null;null;DK5386888 221365 Madbestilling Søndermarkskolen;72000000;XG-0000002531-00016;null;null
5386888 222807;null;null;null;Indeholder;null;null;null;DK5386888 222807 Søndermarkskolen skolefest;72000000;XG-0000002531-00017;null;null
5386888 225082;null;null;null;Indeholder;null;null;null;DK5386888 225082 Søndermarkskolen skolefest 2019;72000000;XG-0000002531-00017;null;null
5386888 010186;null;null;null;Indeholder;null;null;null;DK5386888 Madsalg Assentoftskolen;72000000;XG-0000002369-00021;null;null
5386888 001004;null;null;null;Indeholder;null;null;null;DK5386888 Madsalg Assentoftskolen 0-3 klasse;72000000;XG-0000002369-00021;null;null
5386888 001186;null;null;null;Indeholder;null;null;null;DK5386888 Madsalg Assentoftsskolen;72000000;XG-0000002369-00021;null;null
5444748;null;null;null;Indeholder;null;null;null;DK5444748 Kantinen via GAIA;72000000;XG-0000003040-00034;null;null
5541042;null;null;null;Indeholder;null;null;null;DK5541042 Udbyhøj Lystbådehavn;72000000;XG-0000004024-00003;null;null
5846102;null;null;null;Indeholder;null;null;null;DK5846102 Kantinen Laksetorvet;72000000;XG-0000005228-00003;null;null
5887356;null;null;null;Indeholder;null;null;null;DK5887356 Kildevang;72000000;XG-0000004526-00045;null;null
5891507;null;null;null;Indeholder;null;null;null;DK5891507 - Åbakken;72000000;XG-0000004526-00031;null;null
5908167;null;null;null;Indeholder;null;null;null;DK5908167 Asferg;72000000;XG-0000004526-00048;null;null
5991390;null;null;null;Indeholder;null;null;null;DK5991390 Kantinen Sundhedshuset;72000000;XG-0000005228-00003;null;null
6201830;null;null;null;Indeholder;null;null;null;DK6201830 Kantinen Kasernen;72000000;XG-0000005228-00003;null;null
6899625;null;null;null;Indeholder;null;null;null;DK6899625 Huset Nellemann;72000000;XG-0000004526-00037;null;null
8357634;null;null;null;Indeholder;null;null;null;DK8357634 Huset Nellemann;72000000;XG-0000004526-00037;null;null
Gaia via;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Gaia Via;72000000;XG-0000003040-00034;null;null
5386888 101002;null;null;null;Indeholder;null;null;null;Kortbetaling - Søndermarkskolen;72000000;XG-0000002531-00016;null;null
5386888 001683;null;null;null;Indeholder;null;null;null;Madbestilling førskolen Assentoft;72000000;XG-0000002369-00021;null;null
5386888 010683;null;null;null;Indeholder;null;null;null;Madbestilling førskolen Assentoft;72000000;XG-0000002369-00021;null;null
5386888 001631;null;null;null;Indeholder;null;null;null;Skolefest Assentoftskolen;72000000;XG-0000002369-00022;null;null
7463073;null;null;null;Indeholder;null;null;null;Teller 7463073;72000000;XG-0000004204-00002;null;null
7570567;null;null;null;Indeholder;null;null;null;Teller 7570567;72000000;XG-0000004024-00003;null;null
7667973;null;null;null;Indeholder;null;null;null;Teller 7667973;72000000;XG-0000004526-00031;null;null
7670788;null;null;null;Indeholder;null;null;null;Teller 7670788;72000000;XG-0000004526-00028;null;null
7670789;null;null;null;Indeholder;null;null;null;Teller 7670789;72000000;XG-0000004526-00033;null;null
7670796;null;null;null;Indeholder;null;null;null;Teller 7670796;72000000;XG-0000004526-00027;null;null
7670797;null;null;null;Indeholder;null;null;null;Teller 7670797;72000000;XG-0000004526-00030;null;null
Ekstra;null;Open Experience;null;Starter med;null;null;null;Tekst fra bank;72000000;XG-0000005285-00006;null;null
012197;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Assentoftskolen 012197;72000000;XG-0000002369-00021;null;null
011781;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Bakkegården 011781;72000000;XG-0000004526-00028;null;null
011784;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Bjerregrav Skole 011784;72000000;XG-0000002382-00015;null;null
011785;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Borupvænget 011785;72000000;XG-0000004526-00046;null;null
011777;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Cafe Lindevænget 011777;72000000;XG-0000004526-00036;null;null
011792;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Cafe Nellemann 011792;72000000;XG-0000004526-00037;null;null
011778;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Cafe Svaleparken 011778;72000000;XG-0000004526-00038;null;null
011789;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Cafe Thors Bakke 011789;72000000;XG-0000004526-00039;null;null
011897;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Cafe Vorup 011897;72000000;XG-0000004526-00041;null;null
011783;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Dronnigborg 011783;72000000;XG-0000004526-00030;null;null
011890;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Fritidscentret 011890;95990009;null;null;null
011780;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Fårup 011780;72000000;XG-0000004526-00047;null;null
012200;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Gaia Butik 012200;72000000;XG-0000003040-00018;null;null
012199;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Gaia Cafe 012199;72000000;XG-0000003040-00046;null;null
012196;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Hobrovejens Juniorklub 012196;72000000;XG-0000002448-00001;null;null
011891;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Huset Nyvang 011891;72000000;XG-0000004526-00035;null;null
006984;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Kildevang Cafe 006984;72000000;XG-0000004526-00045;null;null
011791;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Kollektivhuset 011791;72000000;XG-0000004526-00044;null;null
006986;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Korshøjskolen 006986;72000000;XG-0000002465-00021;null;null
006973;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Kristrupcentret 006973;72000000;XG-0000004526-00042;null;null
011786;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Madservice 011786;72000000;XG-0000004526-00018;null;null
011793;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Møllevang 011793;72000000;XG-0000004526-00033;null;null
006993;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Nørrevangsskolen 006993;72000000;XG-0000002511-00021;null;null
006979;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Perron 4 006979;72000000;XG-0000003038-00053;null;null
012198;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Psykiatriens Hus 012198;72000000;XG-0000003038-00126;null;null
006974;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Randers Specialskole 006974 ;72000000;XG-0000002648-00024;null;null
011790;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Rosevænget 011790;72000000;XG-0000004526-00027;null;null
011787;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Terneparken 011787;72000000;XG-0000004526-00048;null;null
012185;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Tirsdalen Skole 012185;72000000;XG-0000002544-00025;null;null
006987;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Tirsdalens 006987;72000000;XG-0000004526-00040;null;null
006988;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Vennelyst Juniorklub 006988;72000000;XG-0000002484-00001;null;null
011788;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Åbakken 011788;72000000;XG-0000004526-00031;null;null
8537995;null;null;null;Indeholder;null;null;null;DK 8537995 Gaia Cafe ;72000000;XG-0000003040-00046;null;null
2271311;null;null;null;Indeholder;null;null;null;DK2271311 Affaldsterminalen;72000000;XG-0000005010-00080;null;null
4771850;null;null;null;Indeholder;null;null;null;DK4771850 Gaia butik;72000000;XG-0000003040-00018;null;null
7221304;null;null;null;Indeholder;null;null;null;DK7221304 Gaia Via;72000000;XG-0000003040-00034;null;null
8538001;null;null;null;Indeholder;null;null;null;DK8538001 Gaia Via;72000000;XG-0000003040-00034;null;null
Vindstød;null;null;null;Indeholder;null;null;null;Tekst fra bank;72000000;XG-0000005244-00014;null;null
Assentoft;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Assentoftskolens kantine;72000000;XG-0000002369-00021;null;null
Fritid;null;null;Indbetaling;Indeholder;null;null;null;Kontakt transaktion Fritidscentret;95990009;null;null;null
Bakkegården;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Bakkegården;72000000;XG-0000004518-00093;null;null
Blicherskolen A;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Blicherskolen a-bod;72000000;XG-0000002392-00031;null;null
Blicherskolen B;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Blicherskolen b-bod;72000000;XG-0000002392-00032;null;null
KC cafe;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Kristrupcentret;72000000;XG-0000004526-00042;null;null
Kristrupcentret;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Kristrupcentret;72000000;XG-0000004526-00042;null;null
Cafe-LV;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Lindevænget;72000000;XG-0000004526-00036;null;null
Cafe Nellemann;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Nellemann;72000000;XG-0000004526-00037;null;null
Cafe Svaleparken;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Svaleparken;72000000;XG-0000004526-00038;null;null
Cafe-SP;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Svaleparken;72000000;XG-0000004526-00038;null;null
Svaleparken;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Svaleparken;72000000;XG-0000004526-00038;null;null
Thors bakke;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Thors Bakke;72000000;XG-0000004526-00039;null;null
Thorsbakke;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Thors Bakke;72000000;XG-0000004526-00039;null;null
Cafe Vorup;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Vorup Plejehjem;72000000;XG-0000004526-00041;null;null
